PASSING_ATT,PASSING_CMP,PASSING_YDS,PASSING_TDS,PASSING_INTS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,PLAYER,FANTASY_PTS,OVERALL_RANK
0.0,0.0,0.0,0.0,0.0,9.2,59.4,0.3,1.0,193.3,WR,2025-08-14 15:04:30,111.7,1394.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CeeDee Lamb DAL,193.18,44
348.5,193.4,2269.2,13.3,10.7,98.5,481.6,4.6,3.1,203.1,QB,2025-08-14 15:04:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anthony Richardson Sr. IND,192.13,45
0.0,0.0,0.0,0.0,0.0,10.7,61.4,0.6,0.6,187.7,WR,2025-08-14 15:04:30,105.7,1374.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Puka Nacua LAR,187.96,46
421.6,269.2,2852.0,15.2,8.1,51.1,215.3,1.9,2.6,194.2,QB,2025-08-14 15:04:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Russell Wilson NYG,186.41,47
0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.5,183.5,WR,2025-08-14 15:04:30,92.0,1313.4,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nico Collins HOU,183.9,48
0.0,0.0,0.0,0.0,0.0,2.6,12.2,0.0,0.6,183.3,WR,2025-08-14 15:04:30,106.6,1338.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malik Nabers NYG,183.07,49
0.0,0.0,0.0,0.0,0.0,213.9,971.1,7.8,1.4,182.6,RB,2025-08-14 15:04:27,41.2,314.9,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,James Conner ARI,182.8,50
0.0,0.0,0.0,0.0,0.0,224.5,1000.0,5.9,1.9,182.6,RB,2025-08-14 15:04:27,46.7,383.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breece Hall NYJ,182.58,51
0.0,0.0,0.0,0.0,0.0,3.8,25.1,0.0,0.6,182.1,WR,2025-08-14 15:04:30,91.8,1292.7,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brian Thomas Jr. JAC,182.18,52
0.0,0.0,0.0,0.0,0.0,234.8,968.3,8.2,1.3,182.0,RB,2025-08-14 15:04:27,43.3,309.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kenneth Walker III SEA,182.15,53
0.0,0.0,0.0,0.0,0.0,1.9,12.6,0.1,0.9,180.9,WR,2025-08-14 15:04:30,110.4,1267.7,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amon-Ra St. Brown DET,181.43,54
0.0,0.0,0.0,0.0,0.0,215.5,903.5,5.1,1.3,178.0,RB,2025-08-14 15:04:27,63.0,475.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alvin Kamara NO,177.91,55
0.0,0.0,0.0,0.0,0.0,213.0,938.2,8.3,2.1,175.3,RB,2025-08-14 15:04:27,34.7,268.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Omarion Hampton LAC,175.3,56
0.0,0.0,0.0,0.0,0.0,229.8,1031.9,7.6,1.8,174.3,RB,2025-08-14 15:04:27,37.8,229.8,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chuba Hubbard CAR,174.77,57
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,172.8,WR,2025-08-14 15:04:30,84.8,1244.7,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A.J. Brown PHI,173.07,58
425.1,265.1,2736.5,15.3,10.7,46.8,204.2,1.5,3.0,183.3,QB,2025-08-14 15:04:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tyler Shough NO,172.68,59
0.0,0.0,0.0,0.0,0.0,0.3,2.0,0.0,0.6,169.8,WR,2025-08-14 15:04:30,95.5,1217.7,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drake London ATL,169.97,60
0.0,0.0,0.0,0.0,0.0,7.2,40.3,0.1,0.6,168.4,WR,2025-08-14 15:04:30,94.2,1184.3,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tyreek Hill MIA,168.06,61
