UNNAMED:_0_LEVEL_0_PLAYER,PASSING_ATT,PASSING_CMP,PASSING_YDS,PASSING_TDS,PASSING_INTS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,PLAYER,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FANTASY_PTS
Kyle Monangai CHI,,,,,,33.4,213.0,1.8,0.0,35.0,RB,2025-08-14 15:04:27,4.4,31.6,0.0,,,,,,,,,,,,,,35.260000000000005
Dawson Knox BUF,,,,,,,,,0.0,35.3,TE,2025-08-14 15:04:33,21.9,238.0,1.9,,,,,,,,,,,,,,35.2
Michael Mayer LV,,,,,,,,,0.1,35.2,TE,2025-08-14 15:04:33,27.7,257.3,1.6,,,,,,,,,,,,,,35.13
Chimere Dike TEN,,,,,,2.1,8.9,0.0,0.1,35.1,WR,2025-08-14 15:04:30,18.9,246.0,1.6,,,,,,,,,,,,,,34.89
Jaleel McLaughlin DEN,,,,,,30.5,142.6,0.8,0.5,34.3,RB,2025-08-14 15:04:27,18.2,110.4,0.9,,,,,,,,,,,,,,34.5
Terrance Ferguson LAR,,,,,,,,,0.4,34.1,TE,2025-08-14 15:04:33,23.0,235.5,1.9,,,,,,,,,,,,,,34.150000000000006
Zamir White LV,,,,,,56.1,190.2,1.1,0.0,33.6,RB,2025-08-14 15:04:27,8.6,61.7,0.3,,,,,,,,,,,,,,33.59
A.J. Dillon PHI,,,,,,50.1,199.1,1.6,0.0,32.7,RB,2025-08-14 15:04:27,3.6,28.6,0.1,,,,,,,,,,,,,,32.970000000000006
Tai Felton MIN,,,,,,0.0,3.7,0.0,0.0,32.6,WR,2025-08-14 15:04:30,18.3,221.1,1.7,,,,,,,,,,,,,,32.68
JuJu Smith-Schuster KC,,,,,,0.0,0.0,0.0,0.1,29.8,WR,2025-08-14 15:04:30,19.4,211.1,1.5,,,,,,,,,,,,,,29.91
Harold Fannin Jr. CLE,,,,,,,,,0.4,30.0,TE,2025-08-14 15:04:33,23.7,234.3,1.2,,,,,,,,,,,,,,29.830000000000002
Tyler Johnson NYJ,,,,,,0.0,0.0,0.0,0.0,29.9,WR,2025-08-14 15:04:30,19.7,207.2,1.5,,,,,,,,,,,,,,29.72
Luke McCaffrey WAS,,,,,,0.0,1.0,0.0,0.1,29.0,WR,2025-08-14 15:04:30,19.4,203.2,1.5,,,,,,,,,,,,,,29.220000000000002
Jacory Croskey-Merritt WAS,,,,,,33.0,169.7,1.4,0.0,28.3,RB,2025-08-14 15:04:27,3.7,27.3,0.1,,,,,,,,,,,,,,28.7
Josh Oliver MIN,,,,,,,,,0.1,28.4,TE,2025-08-14 15:04:33,18.2,192.7,1.5,,,,,,,,,,,,,,28.07
Tommy Tremble CAR,,,,,,,,,0.4,27.8,TE,2025-08-14 15:04:33,19.2,183.4,1.7,,,,,,,,,,,,,,27.74
DJ Giddens IND,,,,,,24.1,154.3,1.2,0.0,27.1,RB,2025-08-14 15:04:27,5.8,43.6,0.1,,,,,,,,,,,,,,27.590000000000003
Jalen Royals KC,,,,,,0.0,2.5,0.0,0.0,27.4,WR,2025-08-14 15:04:30,15.7,188.1,1.4,,,,,,,,,,,,,,27.459999999999997
Kendrick Bourne NE,,,,,,1.1,6.8,0.0,0.1,27.0,WR,2025-08-14 15:04:30,17.7,199.8,1.1,,,,,,,,,,,,,,27.060000000000006
A.T. Perry DEN,,,,,,0.0,0.0,0.0,0.0,26.9,WR,2025-08-14 15:04:30,13.7,180.5,1.5,,,,,,,,,,,,,,27.05
