UNNAMED:_0_LEVEL_0_PLAYER,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE
Luke McCaffrey WAS,19.4,203.2,1.5,0.0,1.0,0.0,0.1,29.0,WR,2025-08-14 15:04:30
Jalen Royals KC,15.7,188.1,1.4,0.0,2.5,0.0,0.0,27.4,WR,2025-08-14 15:04:30
Kendrick Bourne NE,17.7,199.8,1.1,1.1,6.8,0.0,0.1,27.0,WR,2025-08-14 15:04:30
A.T. Perry DEN,13.7,180.5,1.5,0.0,0.0,0.0,0.0,26.9,WR,2025-08-14 15:04:30
Robert Woods PIT,18.5,193.0,1.2,0.0,0.0,0.0,0.1,26.5,WR,2025-08-14 15:04:30
Zay Jones ARI,16.8,179.7,1.3,0.0,2.0,0.0,0.1,25.6,WR,2025-08-14 15:04:30
Kalif Raymond DET,14.7,185.8,1.2,0.0,4.0,0.0,0.6,24.9,WR,2025-08-14 15:04:30
Jahan Dotson PHI,15.4,178.5,1.1,0.0,1.7,0.0,0.0,24.8,WR,2025-08-14 15:04:30
Elijah Moore BUF,14.5,159.6,1.2,0.0,1.3,0.0,0.0,23.4,WR,2025-08-14 15:04:30
Jalin Hyatt NYG,13.1,174.0,0.9,0.0,0.0,0.0,0.0,22.8,WR,2025-08-14 15:04:30
Isaac TeSlaa DET,10.7,155.2,1.1,0.0,0.0,0.0,0.0,22.3,WR,2025-08-14 15:04:30
Malachi Corley NYJ,13.8,147.0,0.9,2.3,13.5,0.1,0.1,21.9,WR,2025-08-14 15:04:30
Xavier Hutchinson HOU,14.0,152.1,1.0,0.0,0.0,0.0,0.0,21.0,WR,2025-08-14 15:04:30
Michael Gallup WAS,11.6,130.9,1.0,0.0,0.0,0.0,0.0,19.2,WR,2025-08-14 15:04:30
Jake Bobo SEA,11.8,138.3,0.9,0.0,0.0,0.0,0.0,19.0,WR,2025-08-14 15:04:30
Jaylin Lane WAS,10.4,120.0,0.8,2.2,13.5,0.1,0.1,18.7,WR,2025-08-14 15:04:30
Irvin Charles NYJ,12.4,132.5,0.9,0.0,0.0,0.0,0.0,18.6,WR,2025-08-14 15:04:30
DJ Chark Jr. ATL,9.4,128.2,0.9,0.0,0.0,0.0,0.0,18.4,WR,2025-08-14 15:04:30
