UNNAMED:_0_LEVEL_0_PLAYER,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE
Tommy Tremble CAR,19.2,183.4,1.7,0.4,27.8,TE,2025-08-14 15:04:33
Luke Musgrave GB,19.1,186.4,1.4,0.0,27.1,TE,2025-08-14 15:04:33
Brock Wright DET,15.0,134.8,2.2,0.0,26.4,TE,2025-08-14 15:04:33
Ben Sinnott WAS,17.9,177.0,1.5,0.1,26.4,TE,2025-08-14 15:04:33
Cade Stover HOU,18.5,180.3,1.3,0.1,25.6,TE,2025-08-14 15:04:33
Oronde Gadsden II LAC,16.5,168.9,1.4,0.0,25.1,TE,2025-08-14 15:04:33
Taysom Hill NO,12.3,104.7,0.7,0.3,24.8,TE,2025-08-14 15:04:33
Jeremy Ruckert NYJ,18.7,161.3,1.2,0.0,23.4,TE,2025-08-14 15:04:33
Adam Trautman DEN,12.6,136.7,1.4,0.0,21.8,TE,2025-08-14 15:04:33
Gunnar Helm TEN,16.4,163.3,0.9,0.4,20.9,TE,2025-08-14 15:04:33
Luke Schoonmaker DAL,14.9,132.5,1.2,0.0,20.1,TE,2025-08-14 15:04:33
Josh Whyle TEN,16.7,152.9,0.7,0.0,19.5,TE,2025-08-14 15:04:33
Charlie Woerner ATL,14.0,130.9,1.0,0.0,19.2,TE,2025-08-14 15:04:33
Daniel Bellinger NYG,14.9,139.8,0.8,0.0,18.9,TE,2025-08-14 15:04:33
Julian Hill MIA,14.7,133.4,0.9,0.4,18.2,TE,2025-08-14 15:04:33
Jake Briningstool KC,12.0,121.0,1.0,0.0,18.1,TE,2025-08-14 15:04:33
Jelani Woods IND,7.0,117.0,1.0,0.0,17.7,TE,2025-08-14 15:04:33
Payne Durham TB,10.8,104.6,1.2,0.0,17.6,TE,2025-08-14 15:04:33
Elijah Higgins ARI,11.4,110.3,1.1,0.0,17.4,TE,2025-08-14 15:04:33
Keleki Latu BUF,10.0,111.0,1.0,0.0,17.1,TE,2025-08-14 15:04:33
Darnell Washington PIT,12.3,123.3,0.7,0.0,16.6,TE,2025-08-14 15:04:33
Johnny Mundt JAC,13.4,115.6,0.8,0.0,16.6,TE,2025-08-14 15:04:33
Nate Adkins DEN,8.5,69.8,1.6,0.0,16.5,TE,2025-08-14 15:04:33
Grant Calcaterra PHI,10.4,109.2,0.9,0.0,16.0,TE,2025-08-14 15:04:33
Colby Parkinson LAR,10.6,106.9,0.9,0.0,15.8,TE,2025-08-14 15:04:33
Connor Heyward PIT,10.2,87.7,1.2,0.0,15.7,TE,2025-08-14 15:04:33
Drew Ogletree IND,6.9,86.9,0.8,0.0,13.7,TE,2025-08-14 15:04:33
Drew Sample CIN,10.4,82.5,0.8,0.0,12.8,TE,2025-08-14 15:04:33
Pharaoh Brown MIA,10.1,93.4,0.5,0.0,12.1,TE,2025-08-14 15:04:33
Teagan Quitoriano ATL,5.5,89.5,0.5,0.0,12.0,TE,2025-08-14 15:04:33
Lawrence Cager WAS,5.5,57.0,1.0,0.0,11.7,TE,2025-08-14 15:04:33
Gavin Bartholomew MIN,7.0,75.0,0.6,0.0,11.0,TE,2025-08-14 15:04:33
Brevyn Spann-Ford DAL,7.3,69.7,0.6,0.0,10.7,TE,2025-08-14 15:04:33
Lucas Krull DEN,8.3,79.8,0.4,0.0,10.3,TE,2025-08-14 15:04:33
Quintin Morris JAC,7.9,70.6,0.5,0.0,10.1,TE,2025-08-14 15:04:33
Devin Culp TB,6.1,65.6,0.6,0.0,10.1,TE,2025-08-14 15:04:33
Charlie Kolar BAL,5.7,71.7,0.4,0.0,9.9,TE,2025-08-14 15:04:33
